,0
383,-2.3829732
384,-1.7355376
385,-1.4857949
386,-0.18134545
387,0.1498318
388,1.7533898
389,2.0328214
390,0.95077413
391,0.89910823
392,2.1577191
393,0.69161206
394,-0.051755957
395,1.1317028
396,-0.25328556
397,0.2197777
398,-1.4088807
399,0.7759837
400,-1.936493
401,-1.9919728
402,-1.69547
403,-1.7680691
404,-1.8361458
405,-2.9894953
406,-0.6154144
407,-1.2075505
408,0.72577465
409,-1.8100849
410,-2.3130567
411,-0.24084386
412,0.3462892
413,-0.90986717
414,-0.9187607
415,-4.7187405
416,-4.034818
417,-4.1362476
418,-4.1312165
419,-0.6997267
420,1.1721191
421,1.6870435
422,2.2204196
423,1.7252231
424,2.2003973
425,2.8702521
426,3.0675695
427,3.069829
428,4.2153573
429,2.7835674
430,2.7370272
431,1.4670032
432,2.0885503
433,6.0616107
434,4.768514
435,3.3288257
436,0.25774187
437,0.31276423
438,2.9589794
439,0.42116603
440,1.4153619
441,1.3257418
442,2.5326788
443,2.8504157
444,4.3830953
445,3.6889668
446,2.859706
447,3.311905
448,4.527996
449,4.242768
450,3.5478196
451,2.4057431
452,3.6726623
453,2.8018076
454,2.1021163
455,2.8642383
456,1.2820109
457,-0.9752631
458,-1.6735324
459,-3.7144842
460,-3.1379519
461,-1.0629867
462,0.8164185
463,-0.12975605
464,-2.0437064
465,-3.0534492
466,-2.1940677
467,-1.8858759
468,-0.2805813
469,1.3516618
470,1.6168183
471,-0.2675929
472,0.25496918
473,-0.35271516
474,-1.1958501
475,-2.8506887
476,-1.7633808
477,-1.8438137
478,-0.031359416
479,-0.061440986
480,0.5159209
481,-0.9016728
482,-1.2985325
483,-2.1316736
484,-1.8192532
485,-2.460339
486,-2.0380263
487,-1.0896978
488,0.37991276
489,-0.9444829
490,-1.4040749
491,1.5155699
492,-1.489666
493,1.0427506
494,-0.60177714
495,-0.94351614
496,-1.003887
497,-0.81510276
498,0.76071376
499,2.6116815
500,1.7130016
501,1.8984296
502,1.7512276
503,2.1167605
504,0.53273374
505,-0.73598045
506,1.5710865
507,1.0731444
508,0.53066593
509,1.0873169
510,1.2775695
511,0.36981615
512,-0.16670744
513,-2.2372665
514,0.19899948
515,0.074004106
516,2.0859513
517,0.12412317
518,-2.1110747
519,-3.4036152
520,-3.209158
521,-3.3956146
522,-4.141951
523,-3.7406726
524,-3.3071387
525,-2.8639455
526,-2.3619637
527,-0.9830246
528,-1.0845951
529,-1.9713254
530,-1.0862222
531,-0.23048122
532,-1.161083
533,-0.38260823
534,0.982033
535,1.7232327
536,1.423005
537,1.6984992
538,3.3572218
539,3.9471114
540,2.6787777
541,2.080433
542,2.4911318
543,2.3817134
544,0.27124962
545,0.61383754
546,1.0848253
547,1.322817
548,0.9068458
549,1.3350863
550,-0.41838485
551,-0.8040059
552,0.9419152
553,1.2097745
554,-1.6346312
555,1.293305
556,1.8650322
557,1.2610425
558,2.2300892
559,2.7156289
560,4.089062
561,3.326823
562,3.980905
563,4.5170784
564,1.8629785
565,2.48075
566,2.4785616
567,0.5944257
568,1.2332402
569,0.38200438
570,-0.4078937
571,1.5566107
572,1.2966305
573,1.0688342
574,3.2837644
575,3.6118164
576,2.3128343
577,0.7502615
578,1.0602013
579,1.866829
580,-0.035157923
581,-1.1852878
582,-0.37648663
583,-0.4691988
584,0.37560517
585,1.3002359
586,1.2733604
587,-0.35651657
588,0.22846717
589,0.31319693
590,-0.8998743
591,-0.9661361
592,0.8948007
593,2.26709
594,1.184986
595,-0.068150125
596,-0.8821699
597,1.8144678
598,2.861863
599,2.4700963
600,2.0271306
601,1.3636756
602,3.027434
603,-1.3336936
604,0.12569305
605,-1.0101097
606,0.68706274
607,0.7370742
608,1.2303313
609,2.4664326
610,1.3562773
611,1.026719
612,-0.80595434
613,2.5350788
614,2.161466
615,2.6830983
616,0.526038
617,3.1120214
618,1.3074609
619,4.569017
620,3.6538572
621,3.368037
622,3.8336072
623,2.9921508
624,3.661759
625,0.6108423
626,0.99332154
627,0.8838122
628,1.5346156
629,4.522793
630,4.785207
631,3.8719854
632,2.63866
633,3.7733846
634,2.221753
635,1.9441409
636,2.3595848
637,1.6631416
638,1.7384264
639,3.368516
640,2.7130804
641,2.1178877
642,2.9405854
643,2.1370234
644,2.9404798
645,2.7336476
646,2.7096472
647,1.0562148
648,0.51253176
649,-0.12319624
650,0.2712857
651,1.6099201
652,2.2624447
653,2.0555766
654,1.5520382
655,1.5968406
656,-0.1484612
657,0.99689656
658,2.191489
659,1.3123729
660,3.0167298
661,2.4469824
662,0.83400494
663,1.649886
664,0.18444446
665,0.2939559
666,0.9751331
667,-0.16118363
668,1.8193777
669,1.5179948
670,1.8604014
671,1.7848045
672,1.6251541
673,2.4226182
674,2.6449234
675,1.1352837
676,0.27898875
677,0.87350464
678,0.6767869
